nosaukums,zimols,Atlaide %,cena,cena ar atlaidi
Olīvu izspaidu eļļa 1l met.,LUGLIO ,30,9.99,6.99
Tīģergarneles 26-30 bez galvas jēl. 800g,,45,21.99,11.99
Tual.papīrs  Exclusive Ultra..4k.8r.,ZEWA,44,10.79,5.99
"Veļ.mazg.līdz. Colors 30m.r.1,8L",WOOLITE,52,10.89,5.19
Cūkgaļas lāpstiņa bez kaula un ādas sver.,,0,5.29,5.29
Siers Gouda 45% kg,,33,8.99,5.99
Pelmeņi  CLASSIC 700g,VECMĀMIŅAS,30,3.99,2.79
Kūtī dētas olas  10gab.,BALTICOVO,26,3.49,2.59
Mini sardeles  700g,FOREVERS,50,5.99,2.99
Trauku mazgājamās mašīnas tabletes  90+2gb,FINISH Power Lemon,65,39.99,13.99
